,uid,log10_load_initial,log10_load_20h,log10_load_max_20h,auc_20h,log10_auc_cfu_20h,log10_load_max_until_death,auc_cfu_until_death,log10_auc_cfu_until_death,upper_TTD
0,E_Fly01,3.885003010610186,5.251187977503269,5.251187977503269,1192316.6354253432,6.076391603354877,5.9691714332467365,5837054.509612754,6.766193749008891,32.0
1,E_Fly02,3.9083685475112446,5.490009361890458,5.490009361890458,1566106.0123713305,6.194821156846806,5.7656139509447115,3063771.167994984,6.4862563248677745,24.0
2,E_Fly03,3.9395321313455245,4.726815319176333,4.726815319176333,365622.8389175931,5.563033316454802,5.972312769798239,4787092.776212621,6.6800718444041856,32.0
3,E_Fly04,3.9027274618527623,5.295487290055815,5.29972535239001,1378117.1142957257,6.139286126084785,5.940287251859341,4323023.481529065,6.635787594513713,28.0
4,E_Fly05,3.9740271891568915,4.346826076241959,4.346826076241959,258196.6596454884,5.4119506193908355,5.409309017523035,1440114.608153091,6.1583970557812595,32.0
5,E_Fly06,3.893444138967764,4.901865202567039,5.333954352581179,1212230.635468374,6.08358525529414,5.616549138630226,4808340.728411645,6.681995235040009,32.0
6,E_Fly07,3.7755015543101935,4.487894539099027,4.487894539099027,269082.2010179838,5.429884971434042,5.7298306025523935,2492389.5498311045,6.396615921663048,32.0
7,E_Fly08,3.907543557440379,5.553060745600507,5.584402842728865,2319346.3788700746,6.365365612457941,5.584402842728865,3809717.7112823464,6.580892796942211,32.0
8,E_Fly09,3.9275545688278615,4.676427757877381,4.676427757877381,300323.7293460253,5.477589648272556,5.854548834381324,3479466.1967548695,6.5415126216518,32.0
9,E_Fly10,4.105868144239982,5.3534922327625125,5.464525833692588,1499168.662018325,6.175850495332148,5.739178320225691,3997754.309040446,6.601816100060554,28.0
10,E_Fly11,3.9195962126491035,4.292172964385053,4.292172964385053,217034.7074034345,5.336529190201064,6.142745354240131,10101616.330377534,7.004390869545151,48.0
11,E_Fly12,3.8502498952920967,5.260226132267031,5.260226132267031,1303298.995905935,6.115044060667238,5.872460075372432,4131561.3900519134,6.616114210236045,28.0
12,F_Fly01,3.73479372533947,4.532528033877903,4.532528033877903,237259.14331686898,5.375222957940418,6.201438855695609,4219354.747203771,6.6252460407353535,32.0
13,F_Fly02,3.9687519235268804,4.417764797793598,4.417764797793598,240581.72921693322,5.381262642116199,5.514406884979611,1864093.1665626757,6.270467614409015,32.0
14,F_Fly03,3.708548058412292,5.2756393416884055,5.312001717193622,1300011.4493021339,6.113947177189023,5.778696464711651,5332852.560321378,6.7269595767216925,32.0
15,F_Fly04,3.757051433362943,4.949218379668186,4.949218379668186,344740.34043135215,5.537492106157144,5.789666594455102,3962980.515225189,6.598021937045019,32.0
16,F_Fly05,3.742324312763245,4.078227137252352,4.078227137252352,166845.83330208485,5.222315365341979,5.755653939720372,4054070.7716083345,6.607891325869248,48.0
17,F_Fly06,3.7585901468249188,4.862483525860586,4.862483525860586,351160.215703752,5.5455053071229,5.68370124079997,2369092.7794214827,6.374582069081472,28.0
18,F_Fly07,3.7690521436878317,5.410555578793292,5.571706839320269,2068513.8882215715,6.31565844114052,6.078775950318135,8288575.491696609,6.9184798973470265,32.0
19,F_Fly08,3.871038606472409,4.963098265161191,4.963098265161191,386615.680450839,5.587279464268768,5.841863911615732,4261349.651137701,6.629547170278764,32.0
20,F_Fly09,3.7608185882554928,5.529258803316099,5.529258803316099,1524711.3869075978,6.183187643724902,5.967160505282421,7056619.65350439,6.848596709918791,32.0
21,F_Fly10,3.941063700792056,5.593006107081687,5.593006107081687,1484420.4992761617,6.171556943157915,6.0008076651059765,6622848.285047749,6.821044806425227,28.0
22,F_Fly11,3.864705350332475,4.295835846168781,4.3259088391983065,208400.90185923423,5.318899594049951,6.131847397300756,10178091.131283635,7.007666335084773,48.0
23,F_Fly12,3.7552258971484425,5.23009771381979,5.33401621822677,1436500.8806512393,6.157305896573603,5.801211142613566,5329154.070392102,6.726658276246516,32.0
24,G_Fly01,4.170663343226631,5.656308908763147,5.656308908763147,2702178.3531500017,6.431714010575197,5.931468146528564,4843767.418175559,6.685183281575068,24.0
25,G_Fly02,3.8929320233937017,5.009763631386678,5.009763631386678,525807.7480459445,5.720826981368684,5.677294147644552,3561903.825270709,6.551682188928989,32.0
26,G_Fly03,4.0047962887182464,5.142256527831958,5.142256527831958,610227.8630608977,5.785492033685496,5.99732959451141,9864335.748602271,6.994067845753505,48.0
27,G_Fly04,4.059780665868101,5.352485545043915,5.4436008886845215,1449972.2606155237,6.161359693837151,6.155621164799429,7288786.400732752,6.862655223332945,28.0
28,G_Fly05,4.218402142587814,5.382102948145818,5.382102948145818,1216788.8176050948,6.085215209859276,5.5485545870682795,2211763.016748169,6.344738591876704,24.0
29,G_Fly06,4.121383539543713,5.365451460273182,5.365451460273182,1263839.8305173828,6.101692038242186,6.117828755466541,7015788.730403352,6.8460765024501296,32.0
30,G_Fly07,4.02980597850245,5.488408228487105,5.505329063549654,2021822.796501603,6.305743089002777,5.693813987592923,3153849.8219942283,6.49884100952807,24.0
