Date	Dilution	pbs	Stock	DF	CFUpul	fold_dilution	CFUs1	CFUs2	CFUs3	CFUs4	CFUs5	CFUs6	Plate	CFUvolume	PlateVolume
12/3/20	6	180	20	100000	8	10	19	20	28	19	21	20	na	5	90
12/3/20	7	100	100	200000	4	2	14	11	8	9	12	9	na	5	90
12/3/20	8	100	100	400000	2	2	4	7	8	5	5	4	107	5	90
12/3/20	9	100	100	800000	1	2	5	3	3	2	3	2	65	5	90
12/3/20	10	100	100	1600000	0.5	2	1	1	2	1	2	3	27	5	90
12/3/20	11	100	100	3200000	0.25	2	0	1	1	0	0	0	11	5	90
12/3/20	12	100	100	6400000	0.125	2	1	1	1	0	0	0	10	5	90
12/4/20	7	100	100	200000	4	2	10	10	10	9	9	11	na	5	90
12/4/20	8	100	100	400000	2	2	7	7	6	2	7	7	125	5	90
12/4/20	9	100	100	800000	1	2	2	4	2	0	2	5	52	5	90
12/4/20	10	100	100	1600000	0.5	2	1	0	0	2	0	0	35	5	90
12/4/20	11	100	100	3200000	0.25	2	0	1	1	1	1	0	9	5	90
12/4/20	12	100	100	6400000	0.125	2	1	0	1	0	0	0	9	5	90
12/7/20	6	180	20	100000	8	10	23	28	26	20	27	21	na	5	90
12/7/20	7	100	100	200000	4	2	9	7	9	12	8	7	na	5	90
12/7/20	8	100	100	400000	2	2	5	1	2	5	3	3	137	5	90
12/7/20	9	100	100	800000	1	2	5	3	1	1	3	4	77	5	90
12/7/20	10	100	100	1600000	0.5	2	2	0	3	2	0	2	32	5	90
12/7/20	11	100	100	3200000	0.25	2	0	0	1	1	0	0	19	5	90
12/7/20	12	100	100	6400000	0.125	2	0	0	0	0	0	0	6	5	90
