Well	CFUs	Hour	Fly1	Fly2	Fly3	Fly4	Fly5	Fly6	Fly7	Fly8	Fly9	Fly10	Fly11	Fly12	a_average
B	684172	0	2.25E+07	1.81E+07	2.68E+07	2.85E+07	3.45E+07	2.82E+07	2.09E+07	2.88E+07	3.20E+07	3.07E+07	2.47E+07	2.77E+07	2.69E+07
G	684172	0	1.70E+07	1.82E+07	6.21E+06	1.15E+07	2.17E+07	1.26E+07	3.71E+07	2.20E+07	1.10E+07	1.72E+07	2.25E+07	1.12E+07	1.74E+07
B	684172	0.5	4.07E+07	3.15E+07	3.43E+07	4.17E+07	3.89E+07	3.54E+07	3.04E+07	3.93E+07	5.05E+07	4.22E+07	2.81E+07	4.38E+07	3.81E+07
G	684172	0.5	2.22E+07	3.85E+07	1.60E+07	3.11E+07	3.66E+07	2.04E+07	3.64E+07	2.80E+07	2.77E+07	2.43E+07	2.64E+07	3.48E+07	2.85E+07
B	684172	1	3.74E+07	3.51E+07	4.59E+07	5.29E+07	3.93E+07	3.94E+07	3.32E+07	4.70E+07	5.11E+07	4.79E+07	3.60E+07	4.42E+07	4.25E+07
G	684172	1	3.58E+07	5.24E+07	2.53E+07	4.03E+07	5.35E+07	3.74E+07	5.93E+07	3.76E+07	3.77E+07	3.34E+07	4.07E+07	3.67E+07	4.08E+07
B	684172	1.5	3.48E+07	3.07E+07	4.00E+07	4.58E+07	3.40E+07	3.37E+07	3.04E+07	4.04E+07	4.84E+07	3.98E+07	3.27E+07	3.95E+07	3.75E+07
G	684172	1.5	3.46E+07	5.74E+07	2.63E+07	1.77E+07	5.86E+07	4.09E+07	6.91E+07	3.70E+07	3.18E+07	3.20E+07	4.84E+07	4.78E+07	4.18E+07
B	684172	2	2.61E+07	2.52E+07	3.52E+07	3.57E+07	2.50E+07	2.44E+07	2.51E+07	3.03E+07	3.76E+07	3.22E+07	2.67E+07	3.15E+07	2.96E+07
G	684172	2	3.57E+07	5.53E+07	2.51E+07	2.75E+07	5.22E+07	3.89E+07	6.87E+07	3.43E+07	3.43E+07	3.02E+07	4.29E+07	3.16E+07	3.97E+07
B	684172	2.5	2.01E+07	1.72E+07	3.51E+07	3.45E+07	2.30E+07	2.03E+07	1.93E+07	2.71E+07	2.92E+07	2.54E+07	1.90E+07	2.36E+07	2.45E+07
G	684172	2.5	3.68E+07	5.01E+07	2.46E+07	3.24E+07	5.01E+07	3.91E+07	6.14E+07	3.49E+07	3.71E+07	3.18E+07	4.50E+07	3.28E+07	3.97E+07
B	684172	3	2.17E+07	1.96E+07	3.29E+07	3.23E+07	2.10E+07	1.72E+07	1.40E+07	2.84E+07	2.93E+07	2.53E+07	1.88E+07	2.29E+07	2.36E+07
G	684172	3	4.82E+07	6.30E+07	3.75E+07	5.31E+07	5.75E+07	5.40E+07	8.15E+07	5.10E+07	4.58E+07	4.45E+07	6.17E+07	4.06E+07	5.32E+07
B	684172	3.5	1.37E+07	1.40E+07	2.39E+07	2.01E+07	1.54E+07	1.24E+07	9.17E+06	1.78E+07	2.61E+07	1.78E+07	1.25E+07	1.78E+07	1.67E+07
G	684172	3.5	5.53E+07	5.09E+07	2.76E+07	4.20E+07	4.54E+07	4.60E+07	5.92E+07	4.41E+07	3.71E+07	3.58E+07	5.16E+07	3.38E+07	4.41E+07
B	684172	4	1.13E+07	1.24E+07	1.78E+07	1.56E+07	1.44E+07	8.35E+06	7.52E+06	1.36E+07	2.11E+07	1.15E+07	1.06E+07	1.28E+07	1.31E+07
G	684172	4	3.25E+07	4.68E+07	2.74E+07	3.78E+07	4.21E+07	4.18E+07	5.27E+07	4.07E+07	3.37E+07	3.73E+07	4.82E+07	3.35E+07	3.95E+07
B	684172	4.5	1.17E+07	1.36E+07	2.04E+07	1.63E+07	1.50E+07	7.52E+06	9.77E+06	1.32E+07	2.01E+07	1.04E+07	5.56E+06	1.44E+07	1.32E+07
G	684172	4.5	4.06E+07	4.66E+07	2.78E+07	4.30E+07	4.85E+07	4.84E+07	5.94E+07	4.47E+07	3.99E+07	4.49E+07	6.17E+07	4.26E+07	4.57E+07
B	684172	5	1.18E+07	1.26E+07	1.38E+07	1.56E+07	1.53E+07	5.92E+06	6.68E+06	1.25E+07	2.06E+07	9.53E+06	9.19E+06	1.26E+07	1.22E+07
G	684172	5	3.90E+07	5.88E+07	3.30E+07	5.05E+07	5.39E+07	4.88E+07	3.17E+07	3.90E+07	4.82E+07	4.87E+07	5.75E+07	4.25E+07	4.60E+07
B	684172	5.5	4.52E+06	5.65E+06	7.04E+06	1.30E+07	6.18E+06	3.57E+06	6.05E+06	9.43E+06	1.37E+07	4.25E+06	3.92E+06	7.72E+06	7.08E+06
G	684172	5.5	2.90E+07	4.66E+07	2.50E+07	3.91E+07	4.20E+07	4.79E+07	2.64E+07	3.21E+07	3.40E+07	3.61E+07	4.66E+07	3.20E+07	3.64E+07
B	684172	6	7.66E+06	7.05E+06	1.04E+07	1.69E+07	8.96E+06	3.59E+06	5.34E+06	1.09E+07	1.28E+07	5.51E+06	3.71E+06	8.64E+06	8.45E+06
G	684172	6	3.67E+07	6.14E+07	2.67E+07	4.31E+07	4.87E+07	4.26E+07	3.76E+07	3.68E+07	4.37E+07	4.57E+07	4.91E+07	3.75E+07	4.24E+07
