Hour	OD	Well	Fly01	Fly02	Fly03	Fly04	Fly05	Fly06	Fly07	Fly08	Fly09	Fly10	Fly11	Fly12
24	0.06	E	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
24	0.06	G	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
24	0.06	H	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
28	0.06	E	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
28	0.06	F	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
28	0.06	G	NA	FALSE	FALSE	TRUE	NA	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE
28	0.06	H	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
32	0.06	E	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	FALSE	NA
32	0.06	F	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	NA	FALSE	TRUE
32	0.06	G	NA	TRUE	FALSE	NA	NA	TRUE	NA	TRUE	NA	NA	TRUE	TRUE
32	0.06	H	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
48	0.06	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA
48	0.06	F	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA
48	0.06	G	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	0.06	H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
