OD	Type 	IVS	TECAN	
6	Fly	NA	17077	
6	Fly	7.58E+06	708	
6	Fly	1.47E+07	17090	
6	Fly	1.26E+07	23697	
6	Fly	1.50E+07	16896	
6	Fly	1.90E+07	20999	
6	Fly	2.24E+07	17643	
6	Fly	2.42E+06	4448	
6	liquid	1.18E+10	35982212	
0.6	Fly	NA	2222	
0.6	Fly	5.70E+06	2024	
0.6	Fly	4.30E+06	2457	
0.6	Fly	3.46E+06	2894	
0.6	Fly	2.89E+06	2097	
0.6	Fly	2.62E+06	2426	
0.6	Fly	4.23E+06	2566	
0.6	Fly	2.64E+06	2778	
0.6	liquid	3.61E+09	2709307	
0.06	Fly	1.38E+05	226	
0.06	Fly	2.37E+05	317	
0.06	Fly	1.29E+05	285	
0.06	Fly	1.70E+05	190	
0.06	Fly	2.16E+05	298	
0.06	Fly	1.21E+05	154	
0.06	Fly	1.63E+05	266	
0.06	Fly	2.04E+05	269	
0.06	liquid	NA	218129	
0.006	Fly	2.87E+04	57	
0.006	Fly	2.15E+04	86	
0.006	Fly	2.22E+04	98	
0.006	Fly	2.46E+04	110	
0.006	Fly	1.68E+04	102	
0.006	Fly	1.74E+04	110	
0.006	Fly	2.83E+04	100	
0.006	Fly	2.09E+04	130	
0.006	liquid	5.18E+06	3002	
0.0006	Fly	3.56E+03	67	
0.0006	Fly	5.37E+03	82	
0.0006	Fly	2.62E+03	67	
0.0006	Fly	3.60E+03	108	
0.0006	Fly	2.52E+03	110	
0.0006	Fly	3.54E+03	95	
0.0006	Fly	6.25E+03	123	
0.0006	Fly	6.07E+03	111	
0.0006	liquid	NA	106	
0.00006	Fly	1.13E+03	27	
0.00006	Fly	1.40E+03	141	
0.00006	Fly	1.43E+03	123	
0.00006	Fly	1.86E+03	108	
0.00006	Fly	1.42E+03	90	
0.00006	Fly	1.44E+03	96	
0.00006	Fly	2.12E+03	91	
0.00006	Fly	3.14E+03	78	
0.00006	liquid	NA	33	
0	food	1.20E+06	68	
0	food	7.12E+05	183	
0	food	6.81E+05	137	
0	food	3.95E+05	111	
0	food	6.10E+05	95	
0	food	2.78E+05	83	
0	food	6.43E+05	96	
0	food	3.90E+05	89	
0	food	4.45E+05	74	
