Row	Column	date	Well_ID	Genotype	Condition	Note	Hour	DilutionID	DF	Counts	ilux	negative	Flags
A	C1	12/13/21	A_C1	G130	STANDARD	SACRIFICE	0	3	25	119	111	8	NONE
B	C4	12/13/21	B_C4	G130	STANDARD	SACRIFICE	0	3	25	87	83	4	NONE
C	C8	12/13/21	C_C8	G130	STANDARD	SACRIFICE	0	3	25	77	75	2	NONE
D	C12	12/13/21	D_C12	G130	STANDARD	SACRIFICE	0	3	25	64	63	1	NONE
A	C1	12/13/21	A_C1	G130	AMP	SACRIFICE	0	3	25	59	55	4	NONE
B	C4	12/13/21	B_C4	G130	AMP	SACRIFICE	0	3	25	112	106	6	NONE
C	C8	12/13/21	C_C8	G130	AMP	SACRIFICE	0	3	25	76	71	5	NONE
D	C12	12/13/21	D_C12	G130	AMP	SACRIFICE	0	3	25	143	132	11	NONE
F	C1	12/13/21	F_C1	G090	STANDARD	SACRIFICE	0	3	25	13	7	6	FLAG
F	C4	12/13/21	F_C4	G090	STANDARD	SACRIFICE	0	3	25	60	56	4	NONE
G	C8	12/13/21	G_C8	G090	STANDARD	SACRIFICE	0	3	25	46	40	6	NONE
H	C12	12/13/21	H_C12	G090	STANDARD	SACRIFICE	0	3	25	73	68	5	NONE
A	C11	12/13/21	A_C11	G130	STANDARD	SACRIFICE	18	5	625	110	104	6	NONE
B	C9	12/13/21	B_C9	G130	STANDARD	SACRIFICE	18	6	3125	112	98	14	NONE
C	C1	12/13/21	C_C1	G130	STANDARD	SACRIFICE	18	5	625	52	46	6	NONE
D	C5	12/13/21	D_C5	G130	STANDARD	SACRIFICE	18	4	125	64	55	9	NONE
A	C11	12/13/21	A_C11	G130	AMP	SACRIFICE	18	5	625	106	102	4	NONE
B	C9	12/13/21	B_C9	G130	AMP	SACRIFICE	18	3	25	118	109	9	NONE
C	C1	12/13/21	C_C1	G130	AMP	SACRIFICE	18	3	25	51	49	2	NONE
F	C11	12/13/21	F_C11	G130	AMP	SACRIFICE	18	3	25	22	17	5	FLAG
G	C1	12/13/21	G_C1	G090	STANDARD	SACRIFICE	18	2	5	122	104	18	NONE
G	C9	12/13/21	G_C9	G090	STANDARD	SACRIFICE	18	3	25	49	44	5	NONE
H	C5	12/13/21	H_C5	G090	STANDARD	SACRIFICE	18	2	5	169	153	16	NONE
D	C5	12/13/21	D_C5	G090	STANDARD	SACRIFICE	18	4	125	45	40	5	NONE
A	C12	12/13/21	A_C12	G130	STANDARD	SACRIFICE	24	7	15625	57	51	6	NONE
B	C11	12/13/21	B_C11	G130	STANDARD	SACRIFICE	24	5	625	48	43	5	NONE
C	C2	12/13/21	C_C2	G130	STANDARD	SACRIFICE	24	5	625	171	167	4	NONE
D	C6	12/13/21	D_C6	G130	STANDARD	SACRIFICE	24	6	3125	117	108	9	NONE
A	C12	12/13/21	A_C12	G130	AMP	SACRIFICE	24	5	625	78	75	3	NONE
