Row	Hour	Genotype	Condition	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
A	0	G130	STANDARD	1.66E+05	1.83E+05	1.86E+05	1.85E+05	1.77E+05	1.07E+05	1.10E+05	1.78E+05	9.71E+04	1.80E+05	1.47E+05	1.50E+05
B	0	G130	STANDARD	1.48E+05	1.27E+05	2.96E+05	1.65E+05	3.26E+05	6.85E+04	1.61E+05	1.09E+05	2.85E+05	1.64E+05	2.43E+05	8.95E+04
C	0	G130	STANDARD	2.16E+05	3.59E+05	1.66E+05	2.51E+05	1.90E+05	1.75E+05	1.99E+05	1.71E+05	3.09E+05	3.51E+05	2.30E+05	3.36E+05
D	0	G130	STANDARD	2.58E+05	9.64E+04	1.95E+05	1.30E+05	1.86E+05	1.65E+05	1.66E+05	1.66E+05	2.33E+05	2.17E+05	1.90E+05	1.67E+05
E	0	EMPTY	NONE	1.71E+03	5.24E+03	1.93E+03	1.57E+03	1.68E+03	2.60E+03	2.73E+03	2.01E+03	1.98E+03	2.57E+03	1.90E+03	1.08E+03
F	0	EMPTY	NONE	8.68E+02	1.76E+03	1.37E+03	9.23E+02	1.58E+03	1.42E+03	2.11E+03	1.06E+03	9.08E+02	1.35E+03	8.94E+02	4.81E+02
G	0	EMPTY	NONE	5.62E+02	4.24E+02	2.33E+03	7.60E+02	3.85E+02	1.00E+03	8.70E+02	7.96E+02	2.57E+02	2.76E+02	1.39E+02	8.86E+02
H	0	EMPTY	NONE	-3.32E+02	4.71E+01	3.29E+02	4.31E+01	-8.75E+01	3.79E+01	6.55E+02	-1.68E+02	-4.30E+01	2.54E+02	5.36E+02	7.32E+02
A	0	G130	AMP	7.40E+04	8.18E+04	1.51E+05	7.70E+04	1.30E+05	1.11E+05	1.11E+05	7.29E+04	1.25E+05	5.40E+04	1.33E+05	1.90E+05
B	0	G130	AMP	1.61E+05	1.55E+05	1.12E+05	1.54E+05	8.45E+04	1.65E+05	1.71E+05	1.56E+05	1.99E+05	2.69E+05	1.71E+05	1.25E+05
C	0	G130	AMP	7.45E+04	9.99E+04	1.16E+05	1.70E+05	1.20E+05	1.03E+05	1.27E+05	1.42E+05	1.24E+05	1.77E+05	7.99E+04	1.38E+05
D	0	G130	AMP	3.01E+05	9.61E+04	1.36E+05	1.77E+05	7.22E+04	2.25E+05	1.65E+05	1.68E+05	4.82E+05	1.54E+05	1.92E+05	2.79E+05
E	0	EMPTY	NONE	3.77E+03	2.08E+03	1.69E+03	1.38E+03	1.89E+03	2.26E+03	2.24E+03	2.32E+03	2.71E+03	2.27E+03	1.53E+03	2.02E+03
F	0	G090	STANDARD	4.38E+04	8.89E+04	8.26E+04	1.61E+05	1.20E+05	2.11E+05	1.17E+05	7.71E+04	1.30E+05	4.10E+04	1.14E+05	1.63E+05
G	0	G090	STANDARD	9.05E+04	8.60E+04	1.07E+05	1.10E+05	9.86E+04	1.55E+05	1.96E+05	1.19E+05	2.17E+05	1.38E+05	1.10E+05	1.03E+05
H	0	G090	STANDARD	1.26E+05	1.56E+05	9.32E+04	1.22E+05	2.38E+05	2.05E+05	1.26E+05	1.74E+05	1.19E+05	2.14E+05	1.42E+05	1.31E+05
A	18	G130	STANDARD	1.48E+04	7.15E+05	2.83E+06	3.52E+05	4.94E+06	1.99E+05	2.03E+06	9.48E+04	8.45E+04	2.81E+06	3.05E+06	3.61E+06
B	18	G130	STANDARD	1.59E+06	5.34E+06	3.73E+06	2.30E+04	2.86E+06	2.17E+06	1.92E+06	1.85E+06	4.84E+06	3.00E+06	3.70E+05	1.49E+06
C	18	G130	STANDARD	9.88E+05	1.08E+06	1.41E+05	1.97E+05	5.76E+05	3.55E+06	9.53E+05	1.97E+04	2.54E+06	4.34E+06	7.47E+05	5.45E+06
D	18	G130	STANDARD	2.33E+06	1.06E+06	1.82E+06	1.19E+06	3.43E+06	1.39E+06	1.20E+06	1.47E+06	2.79E+06	3.82E+06	3.86E+05	1.09E+04
E	18	EMPTY	NONE	3.24E+03	5.24E+03	7.10E+03	7.93E+03	8.53E+03	8.73E+03	7.46E+03	9.49E+03	9.08E+03	8.76E+03	5.18E+03	3.67E+03
F	18	EMPTY	NONE	-7.32E+02	8.96E+02	2.49E+03	2.48E+03	3.18E+03	1.19E+03	2.75E+03	3.33E+03	2.45E+03	2.09E+03	1.25E+03	1.59E+03
G	18	EMPTY	NONE	-2.15E+03	-9.07E+02	5.27E+02	6.66E+02	2.48E+02	-5.71E+01	-1.77E+01	-6.51E+02	-8.76E+02	-9.95E+02	-1.35E+03	-2.63E+02
H	18	EMPTY	NONE	-1.46E+03	-7.27E+02	-5.59E+02	-1.22E+03	-1.91E+02	-4.60E+02	-2.74E+02	-8.69E+02	-1.97E+02	2.29E+02	3.45E+02	1.12E+03
A	18	G130	AMP	4.99E+04	1.86E+06	1.48E+06	9.88E+04	1.14E+06	9.04E+05	3.34E+06	5.27E+05	7.02E+05	1.58E+06	1.49E+06	1.18E+06
B	18	G130	AMP	2.85E+06	6.81E+05	5.22E+05	1.56E+04	1.83E+06	2.36E+06	1.69E+05	2.50E+05	1.21E+05	7.31E+06	1.03E+06	3.19E+06
C	18	G130	AMP	3.51E+04	9.93E+05	1.80E+06	1.61E+05	1.09E+06	2.49E+06	4.91E+06	2.27E+04	1.13E+05	3.47E+06	7.25E+04	1.60E+06
D	18	G130	AMP	2.69E+05	1.79E+06	9.77E+04	2.89E+05	1.30E+05	4.27E+06	9.22E+05	1.07E+06	1.19E+07	1.30E+05	9.13E+04	9.73E+03
E	18	EMPTY	NONE	1.25E+02	3.09E+03	3.93E+03	3.53E+03	5.55E+03	9.96E+03	9.46E+03	1.11E+04	1.49E+04	8.49E+03	2.93E+03	1.12E+03
F	18	G090	STANDARD	-4.47E+02	2.64E+04	1.17E+04	3.30E+03	1.83E+04	1.65E+04	2.41E+04	1.77E+04	1.48E+04	6.30E+03	1.54E+04	1.57E+04
G	18	G090	STANDARD	1.18E+04	5.83E+03	8.52E+03	1.47E+04	5.63E+03	1.07E+04	1.44E+04	1.28E+03	1.46E+04	6.66E+04	7.55E+05	1.12E+04
H	18	G090	STANDARD	1.25E+05	3.21E+04	9.54E+04	1.40E+04	9.33E+03	2.09E+04	7.52E+03	5.56E+04	1.16E+04	2.26E+04	1.76E+04	2.78E+03
A	24	G130	STANDARD	1.30E+05	3.89E+06	1.01E+07	8.49E+05	7.22E+06	4.68E+05	9.64E+06	1.69E+05	9.05E+04	1.06E+07	2.90E+05	7.83E+06
B	24	G130	STANDARD	5.93E+06	1.18E+07	8.54E+06	5.82E+04	1.23E+07	1.51E+07	6.50E+06	3.69E+06	4.37E+04	5.63E+06	2.26E+06	2.33E+06
C	24	G130	STANDARD	7.67E+04	2.67E+06	2.81E+05	7.76E+04	1.15E+06	6.35E+06	1.22E+06	4.78E+04	6.28E+06	8.08E+06	3.07E+06	8.93E+06
D	24	G130	STANDARD	7.65E+06	2.93E+06	6.81E+06	1.61E+06	3.93E+04	4.62E+06	2.51E+06	6.60E+06	8.63E+06	2.71E+07	1.74E+06	6.38E+04
