experiment	Day	p_CFU	Fly1	Fly2	Fly3	Fly4	Fly5	Fly6	Fly7	Fly8	Fly9	Fly10	Fly11	Fly12
a	0	684172	4.31E+06	1.16E+07	4.73E+06	1.44E+07	1.06E+07	8.35E+06	2.20E+05	1.53E+07	3.81E+06	8.31E+06	1.69E+06	NA
a	0	68417	5.03E+05	1.13E+06	1.31E+06	1.03E+06	9.63E+05	1.84E+06	1.50E+06	7.70E+05	4.31E+05	3.09E+05	9.87E+05	1.08E+06
a	0	6841	8.17E+04	1.67E+05	1.20E+05	1.10E+05	1.82E+05	2.88E+04	1.93E+05	1.72E+05	1.83E+05	1.29E+05	2.87E+05	1.39E+05
a	0	684	1.03E+04	2.71E+04	3.24E+04	9.85E+03	2.47E+04	3.72E+02	1.07E+04	1.30E+04	2.36E+04	1.89E+04	1.07E+04	2.74E+04
a	0	68	2.71E+03	2.35E+03	3.01E+03	1.61E+03	2.42E+03	6.37E+02	1.36E+03	-1.11E+02	1.93E+03	3.54E+02	3.43E+03	2.51E+03
a	0	7	-3.60E+02	7.65E+02	-4.96E+02	3.11E+02	4.54E+02	-9.32E+01	-8.52E+00	-5.01E+02	1.99E+02	-2.23E+02	-1.77E+02	6.17E+02
b	0	684172	3.97E+07	3.48E+07	3.84E+07	2.35E+07	2.62E+07	3.83E+07	2.31E+07	2.89E+07	2.53E+07	2.82E+07	NA	NA
b	0	68417	7.66E+06	8.37E+06	8.81E+06	5.63E+06	9.91E+06	3.39E+06	7.11E+06	5.55E+06	6.54E+06	2.56E+06	7.13E+06	4.53E+06
b	0	6841	3.92E+05	3.21E+05	4.13E+05	4.33E+05	3.27E+05	7.80E+05	4.22E+05	4.21E+05	2.47E+05	4.41E+05	3.64E+05	5.24E+05
b	0	684	1.21E+04	3.43E+04	1.74E+04	2.33E+04	4.04E+04	3.12E+04	4.60E+03	5.24E+04	3.23E+04	3.41E+04	1.79E+04	5.04E+04
b	0	68	6.25E+03	2.92E+03	5.80E+03	2.17E+03	3.57E+03	4.13E+03	2.40E+03	3.53E+03	2.74E+03	2.96E+03	1.55E+03	4.64E+03
b	0	7	7.55E+02	1.03E+03	8.20E+02	8.80E+02	7.57E+02	1.08E+03	1.12E+03	1.24E+03	6.54E+02	1.37E+03	8.56E+02	2.47E+03
b	1	684172	8.83E+06	2.11E+06	1.24E+06	9.79E+05	5.52E+05	3.48E+06	1.05E+06	2.65E+06	1.18E+06	1.86E+06	NA	NA
b	1	68417	6.03E+05	1.29E+05	1.94E+06	2.01E+05	4.98E+05	6.16E+05	3.60E+05	1.81E+05	2.94E+05	1.65E+05	3.62E+05	1.82E+05
b	1	6841	2.70E+04	1.64E+04	2.33E+04	6.78E+04	1.99E+04	3.29E+03	4.42E+04	4.09E+04	3.24E+04	5.24E+04	9.90E+04	4.99E+04
b	1	684	3.85E+02	2.00E+03	3.96E+03	5.40E+02	1.99E+03	2.16E+03	-2.27E+02	5.18E+03	2.84E+03	2.11E+03	1.05E+03	3.29E+03
b	1	68	2.41E+02	1.62E+01	6.67E+02	2.75E+02	1.78E+03	-1.75E+02	5.66E+02	3.87E+02	4.92E+02	1.10E+03	-2.11E+02	6.00E+02
b	1	7	3.02E+01	5.75E+02	5.13E+02	-1.24E+02	1.01E+02	1.31E+03	-6.14E+01	8.31E+02	1.42E+04	1.68E+03	6.01E+01	3.21E+02
b	2	684172	1.60E+06	4.82E+05	2.07E+05	2.17E+05	1.22E+05	6.88E+05	2.18E+05	4.91E+05	1.83E+05	7.42E+02	NA	NA
b	2	68417	1.04E+05	4.17E+04	5.20E+05	6.38E+04	7.57E+04	1.67E+05	9.84E+04	3.80E+04	7.55E+04	2.69E+04	6.82E+04	4.52E+04
b	2	6841	2.42E+03	1.24E+03	2.71E+03	9.50E+03	2.07E+03	1.83E+03	4.89E+03	5.85E+03	4.96E+04	9.82E+03	1.71E+04	1.01E+04
b	2	684	8.65E+02	8.43E+02	5.07E+02	4.79E+02	7.83E+02	8.38E+02	8.06E+02	6.64E+02	1.26E+03	7.30E+02	2.74E+02	1.03E+03
b	2	68	7.06E+02	3.93E+02	4.65E+02	7.71E+02	2.37E+03	4.17E+02	8.30E+02	9.97E+02	5.21E+02	3.64E+02	3.30E+02	8.87E+02
b	2	7	1.05E+03	2.09E+03	2.51E+03	7.48E+02	6.33E+02	5.88E+02	8.10E+02	3.09E+02	7.78E+02	4.44E+02	3.66E+02	5.22E+02
b	3	684172	5.30E+03	2.87E+05	1.61E+05	1.18E+05	5.94E+04	1.41E+05	1.44E+05	2.25E+05	1.87E+03	1.28E+03	NA	NA
b	3	68417	5.60E+04	2.16E+04	2.13E+05	2.03E+04	1.67E+04	9.92E+04	3.94E+04	2.43E+04	4.49E+04	2.09E+04	3.82E+04	3.03E+04
b	3	6841	5.18E+03	3.44E+03	5.41E+03	6.51E+03	2.75E+03	3.17E+03	4.00E+03	6.02E+03	5.51E+04	8.42E+03	1.12E+04	4.15E+03
