PlateID	date	Fly 	Dilution 	Condition 	day	Counts	ilux	negative
A	2/16/21	6	1000	na	0	140	130	10
B	2/16/21	4	500	na	0	51	48	3
C	2/16/21	3	2000	na	0	132	126	6
d	2/16/21	2	100	na	0	100	95	5
e	2/16/21	1	100	na	0	125	121	4
f	2/17/21	1	200	amp	1	62	61	1
g	2/17/21	2	200	amp	1	103	103	0
h	2/17/21	2	400	amp	1	68	65	3
i	2/17/21	4	200	amp	1	92	92	0
j	2/17/21	4	400	amp	1	46	46	0
k	2/17/21	4	200	control	1	209	208	1
l	2/17/21	4	400	control	1	160	158	2
m	2/17/21	3	200	control	1	109	106	3
n	2/17/21	3	400	control	1	47	46	1
o	2/17/21	2	200	control	1	38	35	3
p	2/17/21	1	200	control	1	100	95	5
q	2/17/21	1	400	control	1	49	46	3
r	2/18/21	2	400	amp	2	35	30	5
s	2/18/21	4	400	amp	2	35	34	1
t	2/18/21	4	200	amp	2	93	86	7
u	2/18/21	4	100	amp	2	102	101	1
v	2/18/21	1	100	amp	2	156	147	9
w	2/18/21	1	200	amp	2	72	67	5
x	2/18/21	1	100	control	2	45	45	0
y	2/18/21	1	200	control	2	31	30	1
z	2/18/21	2	100	control	2	60	60	0
aa	2/18/21	2	200	control	2	49	48	1
ab	2/18/21	3	100	control	2	101	100	1
ac	2/18/21	3	200	control	2	59	54	5
ad	2/18/21	3	400	control	2	34	32	2
ae	2/19/21	1	200	amp	3	127	116	11
Af	2/19/21	1	400	amp	3	74	65	9
ag	2/19/21	2	100	amp	3	100	99	1
ah	2/19/21	2	200	amp	3	105	102	3
ai	2/19/21	2	400	amp	3	36	36	0
aj	2/19/21	3	100	amp	3	143	140	3
ak	2/19/21	3	200	amp	3	83	76	7
al	2/19/21	4	50	amp	3	123	119	4
am	2/19/21	4	100	amp	3	49	48	1
an	2/19/21	4	50	control	3	92	86	6
ao	2/19/21	4	100	control	3	39	35	4
ap	2/19/21	4	200	control	3	45	43	2
aq	2/19/21	3	50	control	3	163	157	6
ar	2/19/21	3	100	control	3	76	71	5
as	2/19/21	3	200	control	3	40	35	5
at	2/19/21	2	50	control	3	68	66	2
au	2/19/21	1	50	control	3	94	89	5
av	2/19/21	1	100	control	3	59	56	3
aw	2/20/21	1	50	amp	4	94	92	2
ax	2/20/21	1	100	amp	4	49	46	3
ay	2/20/21	2	50	amp	4	123	119	4
az	2/20/21	2	100	amp	4	78	72	6
ba	2/20/21	3	50	amp	4	83	77	6
bb	2/20/21	3	100	amp	4	43	43	0
bc	2/20/21	2	50	control	4	31	29	2
bd	2/20/21	4	50	control	4	67	60	7
be	2/20/21	4	100	control	4	57	56	1
bf	2/21/21	1	8	amp	5	82	74	8
bg	2/21/21	1	16	amp	5	48	45	3
bh	2/21/21	2	8	amp	5	172	168	4
bi	2/21/21	2	16	amp	5	101	98	3
bj	2/21/21	3	4	amp	5	47	45	2
bk	2/21/21	3	2	amp	5	85	83	2
bl	2/21/21	4	16	amp	5	233	224	9
bm	2/21/21	1	8	control	5	70	68	2
bn	2/21/21	1	4	control	5	80	78	2
bo	2/21/21	1	2	control	5	218	214	4
bp	2/21/21	2	2	control	5	150	150	0
bq	2/21/21	2	4	control	5	82	78	4
br	2/21/21	2	8	control	5	42	41	1
bs	2/21/21	3	2	control	5	63	60	3
bt	2/21/21	4	4	control	5	289	284	5
bu	2/21/21	4	8	control	5	142	131	11
bv	2/21/21	4	16	control	5	71	68	3
